,count,mean,std,min,25%,50%,75%,max
mean_entropy,617503.0,1.140314247424908,1.1405567043888984,0.0,0.0,0.9296081758047768,1.8177110240765524,7.886671947323156
std_entropy,617503.0,0.287500641498429,0.3453610201072104,0.0,0.0,0.1800343529512216,0.47048796300700724,4.631543253283565
max_entropy,617503.0,1.4454995317987736,1.27613373245107,-0.0,-0.0,1.2909198074667314,2.281013321555201,8.04402837037578
mean_n_codes,617503.0,5.925213021907048,16.569864704783658,1.0,1.0,2.4,5.4,1045.857142857143
mean_max_code_share,617503.0,0.6864176097029252,0.27577005364002855,0.02966711304700495,0.46029759314610713,0.7089262613194426,0.9999999999916667,0.9999999999999998
n_years,617503.0,3.9046935804360463,2.3167470884838925,1.0,2.0,4.0,7.0,7.0
