,community,size,total_spending,median_spending,mean_claims,median_hcpcs,median_servicing,anomaly_rate
844,844,1,25269336.209999997,25269336.209999997,348852.0,2.0,1.0,0.0
1348,1348,1,25236937.28,25236937.28,29896.0,2.0,1.0,0.0
2120,2120,1,25188634.03,25188634.03,2865682.0,1.0,0.0,0.0
1112,1112,1,25187195.1,25187195.1,357392.0,1.0,1.0,0.0
526,526,1,25163603.929999996,25163603.929999996,8771.0,1.0,0.0,0.0
2287,2287,1,25152969.739999995,25152969.739999995,310612.0,1.0,1.0,0.0
870,870,1,25112810.910000004,25112810.910000004,142562.0,1.0,1.0,0.0
2810,2810,1,25103053.74,25103053.74,405955.0,1.0,1.0,0.0
1868,1868,1,25096420.53,25096420.53,181151.0,1.0,1.0,0.0
2853,2853,1,25073823.66,25073823.66,168114.0,2.0,1.0,0.0
1038,1038,1,25069816.64,25069816.64,198265.0,1.0,1.0,0.0
2118,2118,1,25034066.05,25034066.05,74009.0,1.0,1.0,0.0
2129,2129,1,24983541.53,24983541.53,370699.0,2.0,2.0,0.0
550,550,1,24974209.569999997,24974209.569999997,341220.0,2.0,1.0,0.0
2257,2257,1,24966634.89,24966634.89,156379.0,2.0,1.0,0.0
517,517,1,24965627.089999996,24965627.089999996,297149.0,2.0,1.0,0.0
868,868,1,24944330.37,24944330.37,13815.0,1.0,1.0,0.0
2768,2768,1,24908290.509999998,24908290.509999998,316536.0,2.0,1.0,0.0
1370,1370,1,24903074.419999998,24903074.419999998,179736.0,2.0,1.0,0.0
2073,2073,1,24841576.18,24841576.18,379094.0,1.0,1.0,0.0
1816,1816,1,24832489.69,24832489.69,44128.0,2.0,1.0,0.0
102,102,1,24802939.150000002,24802939.150000002,174278.0,2.0,1.0,0.0
373,373,1,24794222.319999997,24794222.319999997,448380.0,1.0,0.0,0.0
2230,2230,1,24773700.6,24773700.6,427999.0,2.0,1.0,0.0
2406,2406,1,24750219.22,24750219.22,147117.0,2.0,1.0,0.0
319,319,1,24703405.189999998,24703405.189999998,348824.0,2.0,1.0,0.0
1001,1001,1,24677820.05,24677820.05,62457.0,2.0,1.0,0.0
208,208,1,24665179.060000002,24665179.060000002,94513.0,2.0,1.0,0.0
1506,1506,1,24655970.3,24655970.3,150605.0,2.0,1.0,0.0
1490,1490,1,24564971.220000003,24564971.220000003,392524.0,2.0,0.0,0.0
25,25,1,24472739.520000003,24472739.520000003,480889.0,1.0,0.0,0.0
92,92,1,24419814.62,24419814.62,123922.0,1.0,0.0,0.0
2512,2512,1,24409372.919999998,24409372.919999998,36066.0,2.0,1.0,0.0
1320,1320,1,24406019.9,24406019.9,41708.0,2.0,1.0,0.0
2101,2101,1,24329672.46,24329672.46,358281.0,1.0,1.0,0.0
777,777,1,24308774.0,24308774.0,172901.0,1.0,1.0,0.0
1693,1693,1,24288966.35,24288966.35,295680.0,2.0,1.0,0.0
2838,2838,1,24288284.36,24288284.36,154017.0,2.0,1.0,0.0
1590,1590,1,24283312.060000002,24283312.060000002,152349.0,1.0,1.0,0.0
2439,2439,1,24276331.630000003,24276331.630000003,40590.0,1.0,1.0,0.0
721,721,1,24264754.7,24264754.7,154337.0,1.0,1.0,0.0
808,808,1,24258930.36,24258930.36,151725.0,2.0,1.0,0.0
1740,1740,1,24254716.57,24254716.57,25118.0,1.0,1.0,0.0
531,531,1,24250671.25,24250671.25,99490.0,1.0,1.0,0.0
2290,2290,1,24230306.6,24230306.6,159758.0,2.0,1.0,0.0
2691,2691,1,24169485.790000003,24169485.790000003,398714.0,1.0,0.0,0.0
995,995,1,24153185.49,24153185.49,77756.0,1.0,1.0,0.0
2366,2366,1,24144404.439999998,24144404.439999998,17303.0,2.0,1.0,0.0
2187,2187,1,24118790.72,24118790.72,26067.0,2.0,1.0,0.0
1284,1284,1,24117054.29,24117054.29,25652.0,1.0,1.0,0.0
749,749,1,24112418.699999996,24112418.699999996,176878.0,1.0,1.0,0.0
291,291,1,24107914.720000003,24107914.720000003,191817.0,2.0,1.0,0.0
1525,1525,1,24047016.12,24047016.12,141924.0,1.0,1.0,0.0
2089,2089,1,24007297.37,24007297.37,155815.0,2.0,1.0,0.0
1910,1910,1,23927394.430000003,23927394.430000003,131336.0,1.0,1.0,0.0
2404,2404,1,23907841.76,23907841.76,51297.0,1.0,1.0,0.0
2740,2740,1,23905041.52,23905041.52,49492.0,2.0,0.0,0.0
2054,2054,1,23891995.96,23891995.96,15160.0,3.0,1.0,0.0
2794,2794,1,23841851.37,23841851.37,6076.0,1.0,1.0,0.0
639,639,1,23800218.430000003,23800218.430000003,157232.0,1.0,1.0,0.0
1307,1307,1,23749342.53,23749342.53,4131860.0,1.0,1.0,0.0
2334,2334,1,23697597.230000004,23697597.230000004,124549.0,2.0,1.0,0.0
129,129,1,23687938.630000003,23687938.630000003,7866.0,3.0,1.0,0.0
2166,2166,1,23665878.700000003,23665878.700000003,50442.0,1.0,0.0,0.0
1955,1955,1,23621977.009999998,23621977.009999998,83218.0,2.0,1.0,0.0
2370,2370,1,23585961.539999995,23585961.539999995,10222.0,2.0,2.0,0.0
1140,1140,1,23555719.6,23555719.6,104385.0,2.0,1.0,0.0
2221,2221,1,23496708.180000003,23496708.180000003,370462.0,1.0,1.0,0.0
822,822,1,23473580.04,23473580.04,45554.0,1.0,1.0,0.0
112,112,1,23436896.61,23436896.61,159896.0,2.0,1.0,0.0
1217,1217,1,23420828.160000004,23420828.160000004,44445.0,2.0,0.0,0.0
2581,2581,1,23417955.06,23417955.06,238474.0,1.0,3.0,0.0
350,350,1,23415421.54,23415421.54,404382.0,1.0,1.0,0.0
375,375,1,23369746.21,23369746.21,68442.0,2.0,1.0,0.0
2215,2215,1,23368977.21,23368977.21,292568.0,1.0,1.0,0.0
1493,1493,1,23356455.82,23356455.82,53382.0,1.0,0.0,0.0
2575,2575,1,23337887.810000002,23337887.810000002,63423.0,1.0,1.0,0.0
735,735,1,23337448.3,23337448.3,57300.0,2.0,1.0,0.0
1944,1944,1,23315554.830000002,23315554.830000002,76901.0,2.0,1.0,0.0
2403,2403,1,23306667.36,23306667.36,49101.0,1.0,0.0,0.0
1803,1803,1,23306605.43,23306605.43,275085.0,2.0,1.0,0.0
2775,2775,1,23290863.53,23290863.53,8274.0,1.0,1.0,0.0
806,806,1,23252514.59,23252514.59,167183.0,2.0,1.0,0.0
1790,1790,1,23227210.62,23227210.62,59445.0,2.0,2.0,0.0
