,count,mean,std,min,25%,50%,75%,max
cate,100000.0,-0.0002597220729617836,0.014169897273664158,-0.24178911646535226,-4.8895959927073267e-05,1.0764380883607595e-06,2.00693869975603e-05,0.31268456179019527
cate_lower,100000.0,-0.006770146224831222,0.04129539397703841,-0.6872283521694235,-0.0007610748199703924,-0.00020678856912202673,-0.00010135300002202407,0.10047752553248565
cate_upper,100000.0,0.006250702078907652,0.04317591679119755,-0.029397309156335254,0.00010421675751394927,0.00016896568330319124,0.000704365309828132,0.8573480187514522
