,index,C0,C1,C2,C3,C4,C5,C6,C7
0,C0,0.0,4.633065736291395,3.9907359290776263,4.011642645427542,3.8717970322679074,6.062544280240128,3.9381778508728402,4.638040536666887
1,C1,4.633065736291395,0.0,5.7661666936891125,7.144527000880371,4.486799263326163,3.9055544140216516,6.040080360260198,3.7373749763209734
2,C2,3.9907359290776263,5.7661666936891125,0.0,3.077166414129277,4.263067064212571,7.481702018018423,4.52604262866472,6.1193111245248915
3,C3,4.011642645427542,7.144527000880371,3.077166414129277,0.0,4.093079895542478,7.799531124248175,2.5333777562048465,6.3153854445224615
4,C4,3.8717970322679074,4.486799263326163,4.263067064212571,4.093079895542478,0.0,4.77268652752693,4.191549498606682,4.038184672581624
5,C5,6.062544280240128,3.9055544140216516,7.481702018018423,7.799531124248175,4.77268652752693,0.0,6.459029518587734,3.990940797452994
6,C6,3.9381778508728402,6.040080360260198,4.52604262866472,2.5333777562048465,4.191549498606682,6.459029518587734,0.0,5.427893442360259
7,C7,4.638040536666887,3.7373749763209734,6.1193111245248915,6.3153854445224615,4.038184672581624,3.990940797452994,5.427893442360259,0.0
