,billing_npi,risk_probability,risk_tier,isolation_forest_score,lof_score,statistical_outlier_score,fraud_flags_count,ae_reconstruction_error,svd_knn_anomaly,nmf_knn_anomaly,hdbscan_noise,hdbscan_low_prob,total_paid,total_claims,total_beneficiaries
150428,1467536276,0.9990043812075561,5,-0.0925152755808466,-1.471186903282594,8,3,9.19799,0.050781272,0.01954807,0,0,219534926.72,3584766,3102746
186559,1578665048,0.9990043812075561,5,-0.11616943997643892,-1.4477204348459236,8,3,257.33206,0.11406712,0.063888,0,0,218818427.27999997,4314959,3884408
221429,1689653487,0.9990043812075561,5,-0.1164906432398618,-1.4432270648177536,8,3,295.70825,0.049471922,0.031500258,0,1,76131513.25999999,2486320,2116772
227204,1700087590,0.9990043812075561,5,-0.1211342290443782,-1.4288630160302562,8,3,336.45703,0.056347113,0.032472532,1,1,172033330.29,4052086,3506913
257464,1790789147,0.9990043812075561,5,-0.12145725335881219,-1.6317303285626632,8,3,722.61224,0.054705106,0.01917749,0,0,159203765.57,3344045,2750199
278854,1861506560,0.9990043812075561,5,-0.12733407317757361,-1.4602410099973784,8,3,708.03394,0.057626404,0.027663916,0,0,556646906.72,6634271,5639593
313264,1972507580,0.9990043812075561,5,-0.11742269679744521,-1.5066456355603328,8,3,293.7025,0.07586063,0.027073437,0,0,151598939.44000003,3639406,3056908
321753,1992850689,0.9990043812075561,5,-0.024366430899830593,-1.063197470090331,8,4,2.7276795,0.24523893,0.1747893,0,1,38502883.86,413375,218984
3235,1003981549,0.9990043812075559,5,-0.04604837383928895,-1.040345722882504,8,2,43.458523,0.07868258,0.01654374,0,0,19169255.990000002,375433,316553
3825,1013057371,0.9990043812075559,5,-0.03715574015472456,-0.9892553870570481,8,2,39.82172,0.14665815,0.034886587,0,0,28593671.62,409723,359749
6091,1013933167,0.9990043812075559,5,-0.01374076322431994,-1.0230331686356924,8,2,19.674625,0.17334063,0.043498836,1,1,10645119.92,236488,203447
7122,1023054004,0.9990043812075559,5,-0.08858777909530247,-1.0516881613816373,8,3,139.18684,0.16936283,0.08981743,1,1,66560295.629999995,962412,762730
13795,1043269798,0.9990043812075559,5,-0.07701635855718603,-0.996479336664405,8,3,124.1923,0.16582918,0.14510691,0,0,53431003.48,858935,648728
20273,1063463768,0.9990043812075559,5,-0.12706365864518265,-1.2299432464792805,8,4,2372.9685,0.09688115,0.030152882,1,1,79307884.60000001,5610229,3348800
27911,1083711790,0.9990043812075559,5,-0.05466618638851939,-0.9845158337583045,8,4,122.35958,0.09470926,0.012463182,0,0,35971761.71,664777,471135
49582,1154376937,0.9990043812075559,5,-0.021181874803362533,-0.9817926760078111,8,3,30.404783,0.19297981,0.1447151,1,1,7469748.25,342427,174129
