,phenotype,hcpcs_code,enrichment_ratio,phenotype_share,overall_share
132,13,0199,23.706128087830116,2.2534217649298474e-05,9.505650845136006e-07
133,13,0214U,23.706128087830116,1.3345516755633528e-05,5.629564096755489e-07
134,13,0239U,23.706128087830116,9.198783407306032e-05,3.880339873818686e-06
135,13,11950,23.706128087830116,2.9589118796498896e-06,1.2481632887020845e-07
136,13,15200,23.706128087830116,7.154947586815602e-07,3.018184817152278e-08
137,13,15771,23.706128087830116,5.199858158718239e-06,2.193465815865418e-07
138,13,15877,23.706128087830116,1.1382806115864941e-05,4.801630225607559e-07
139,13,21299,23.706128087830116,0.0025180491792634314,0.00010621933577403171
140,14,86940,4717.127748776158,3.9769142963040777e-07,8.43079625591203e-11
141,14,0379T,4717.127748776157,3.105362613110469e-06,6.583164117011977e-10
142,14,82240,4717.127748776157,1.76303539507991e-06,3.7375188652402377e-10
143,14,82387,4717.127748776157,1.3909234022717922e-05,2.9486659601972037e-09
144,14,82482,4717.127748776157,1.4821836193576245e-05,3.142131606976665e-09
145,14,87299,4717.127748776157,8.070098759982199e-07,1.710807760522483e-10
146,14,D0706,4717.127748776157,8.542298011154342e-08,1.8109108902913668e-11
147,14,D0707,4717.127748776157,7.517222249815822e-06,1.593601583456403e-09
148,14,D0708,4717.127748776157,5.711475364680139e-06,1.2107951424809221e-09
149,14,D0709,4717.127748776157,1.3952420084885427e-06,2.957821120809233e-10
