,phenotype,hcpcs_code,enrichment_ratio,phenotype_share,overall_share
0,0,0089U,51.87304557390435,1.308047339894906e-05,2.5216320449727793e-07
1,0,0114U,51.87304557390435,6.8335851312503e-07,1.3173672483745692e-08
2,0,0349U,51.87304557390435,6.167907736187843e-06,1.1890390602572829e-07
3,0,66030,51.87304557390435,4.361623398032973e-06,8.408265506251988e-08
4,0,69420,51.87304557390435,4.021645453302925e-07,7.752861642899342e-09
5,0,76977,51.87304557390435,1.004608980828057e-06,1.936668591006045e-08
6,0,95954,51.87304557390435,4.6321606825090046e-08,8.929802812347874e-10
7,0,A6444,51.87304557390435,4.156876259618286e-06,8.01355735648087e-08
8,0,D8698,51.87304557390435,1.1799067245476125e-06,2.2746046843665285e-08
9,0,E1700,51.87304557390435,5.423192403386993e-07,1.0454740691214061e-08
10,1,1286A,233.63555728454364,0.0010126566847659998,4.3343431819014175e-06
11,1,1286C,233.63555728454364,0.0003109952376994666,1.3311126153657638e-06
12,1,1286Z,233.63555728454364,0.0037031881004224274,1.585027614573381e-05
13,1,1438Z,233.63555728454364,5.0569107004067516e-05,2.1644439567252873e-07
14,1,1530P,233.63555728454364,0.0005242144418218293,2.243727144594652e-06
15,1,96000,233.63555728454364,4.163236842451386e-07,1.781936316046705e-09
16,1,S1016,233.63555728454364,1.0115687711818985e-06,4.329686726365515e-09
17,1,1200Z,233.6355572845436,1.249505795498321e-05,5.3480977382931224e-08
18,1,1288Z,233.6355572845436,0.00020312722138093455,8.694191232781699e-07
19,1,1291Z,233.6355572845436,1.587590149606921e-05,6.795156388260725e-08
20,2,0134,3.1395263098203134,3.216573253230034e-06,1.0245409452912437e-06
21,2,0552,3.1395263098203134,1.5132803942079636e-07,4.820091456072474e-08
22,2,90989,3.1395263098203134,1.263422752179972e-07,4.024246422869704e-08
23,2,G2080,3.1395263098203134,3.7928424803974825e-08,1.208093867069571e-08
24,2,J2248,3.1395263098203134,2.1901670300805848e-07,6.976106628665061e-08
25,2,M0316,3.1395263098203134,8.257494216482262e-08,2.6301720073672096e-08
26,2,S5181,3.1395263098203134,3.885640881545101e-06,1.237651957045549e-06
27,2,W1726,3.1395263098203134,1.552329759263241e-05,4.9444712548119615e-06
28,2,W5996,3.1395263098203134,1.9614940975271052e-05,6.247739002510123e-06
29,2,W7319,3.1395263098203134,1.1875538368847389e-05,3.7825892179024515e-06
30,3,00174,25.110567257652235,4.202850840009598e-06,1.6737379115674158e-07
31,3,0170,25.110567257652235,4.1258031576983276e-07,1.6430545416854428e-08
32,3,23600,25.110567257652235,3.4125212631075913e-07,1.3589980776191562e-08
33,3,26605,25.110567257652235,4.3159939789781936e-07,1.7187958896718793e-08
34,3,26725,25.110567257652235,7.633413515751448e-07,3.039920778143803e-08
35,3,3089F,25.110567257652235,1.1368249927069063e-10,4.527277225728417e-12
36,3,46606,25.110567257652235,3.425076863582599e-07,1.3639982037995718e-08
37,3,49084,25.110567257652235,6.036161769609437e-08,2.403833297620932e-09
38,3,57250,25.110567257652235,1.1512310916422644e-05,4.5846478887944535e-07
39,3,57265,25.110567257652235,2.6325077414449593e-06,1.0483664962378438e-07
40,4,0044A,2.8998710426730376,8.168856969182287e-09,2.8169724960087928e-09
41,4,00500,2.8998710426730376,9.364427535600467e-09,3.229256542031794e-09
42,4,0083A,2.8998710426730376,3.984879292625987e-07,1.3741574138941064e-07
43,4,0117U,2.8998710426730376,6.310581025134239e-06,2.176159192002305e-06
44,4,0253,2.8998710426730376,1.6366888427540224e-09,5.64400560807476e-10
45,4,0294,2.8998710426730376,2.218428156916504e-08,7.650092449875307e-09
46,4,0346U,2.8998710426730376,1.0153947561671934e-07,3.501516933771044e-08
47,4,0402T,2.8998710426730376,1.5773835246475426e-06,5.439495416987733e-07
48,4,0511,2.8998710426730376,5.893246813481507e-11,2.0322444435492006e-11
49,4,0555F,2.8998710426730376,1.7140012390694976e-08,5.910611933589878e-09
50,5,G8907,175358.91326358146,0.16666666666666669,9.504316807446823e-07
51,5,3008F,28718.154314104002,0.33333333333333337,1.1607059760439667e-05
52,5,Q5001,2493.1876136047,0.5,0.0002005464800449133
53,5,0001F,0.0,0.0,4.1894336900356597e-07
54,5,0011A,0.0,0.0,1.2016525576389652e-07
55,5,00142,0.0,0.0,3.022478833964413e-05
56,5,0023,0.0,0.0,9.725833966947702e-08
57,5,0064A,0.0,0.0,1.9145654175284333e-08
58,5,00731,0.0,0.0,8.572920652343757e-05
59,5,00811,0.0,0.0,3.469049902177371e-05
60,6,PIN02,164.83938721147194,5.37316994610378e-06,3.25963960252446e-08
61,6,V2531,164.83938721147194,1.5419621285115604e-05,9.354330628112455e-08
62,6,0295U,164.83938721147192,7.4892702088286015e-06,4.543374211419896e-08
63,6,E0617,164.83938721147192,0.00024291326860173204,1.4736360812243217e-06
64,6,L0976,164.83938721147192,6.4600179466372064e-06,3.918977166755461e-08
65,6,L2624,164.83938721147192,1.8467037837449366e-06,1.1203049313546684e-08
66,6,L7900,164.83938721147192,1.054733359790742e-06,6.39855181236283e-09
67,6,S9454,164.83938721147192,1.5369007350931936e-06,9.32362562790596e-09
68,6,SRX01,164.83938721147192,0.0009143106710775401,5.546675988940519e-06
69,6,T2101,152.29294765956072,0.0007858991067599702,5.160443203954445e-06
70,7,01740,23.85248809227779,1.8236575223935789e-07,7.645565172649579e-09
71,7,0441,23.85248809227779,1.3363369731994528e-05,5.602505566838916e-07
72,7,0583,23.85248809227779,1.1449483217111972e-07,4.800121133198983e-09
73,7,1448P,23.85248809227779,4.945938218892015e-06,2.0735523270183524e-07
74,7,28270,23.85248809227779,4.751717912852244e-06,1.9921267309596127e-07
75,7,3006F,23.85248809227779,1.199853623523639e-12,5.03030802858713e-14
76,7,30580,23.85248809227779,1.9799168594923093e-06,8.300672247828538e-08
77,7,69620,23.85248809227779,5.029570416158859e-07,2.10861458003921e-08
78,7,80410,23.85248809227779,5.020235554967846e-07,2.1047010003929697e-08
79,7,82382,23.85248809227779,7.332545464077662e-08,3.074121842430167e-09
80,8,J1729,8.142278489997206,1.7319291539518677e-05,2.1270816959645187e-06
