,ate,se,ci_low,ci_high,z_stat,p_value,n_obs,n_folds,group,n_group
0,0.001766750595933124,0.00044621706450346507,0.0008921651495063323,0.0026413360423599153,3.9593972003269373,7.513917879808929e-05,103765,3,Large,103765
1,0.00032820992941357365,0.00057824935225086,-0.000805158800998112,0.0014615786598252594,0.5675923857692234,0.5703117785600762,103764,3,Medium,103764
2,0.0009095909709547432,0.0008184897716433186,-0.0006946489814661612,0.0025138309233756475,1.1113040168217578,0.2664375109932964,103765,3,Small,103765
3,0.0012797827584373166,0.0005400001644850329,0.00022138243604665213,0.002338183080827981,2.369967349283628,0.017789656184914904,103765,3,Very Large,103765
4,0.008176779127901011,0.0022094624416003164,0.003846232742364391,0.012507325513437632,3.7008002371737807,0.00021492062258432476,103767,3,Very Small,103767
