model,r2_log,r2_actual,mae_log,mae_actual,rmse_log
lgbm,0.9459235384297613,0.4614462963957795,0.4075879663306289,838463.588477555,0.6702724926275183
xgb,0.949804767593202,0.4245158218115196,0.384464409350772,812605.9567765688,0.6457709408638284
catboost,0.9470229072091279,0.41560041118521174,0.40567713516886733,840475.7291939288,0.6634242230958417
stacked,0.9513714508946457,0.4535862834644453,0.3774425915653719,786688.1525547871,0.6356132172637994
