,billing_npi,total_paid,total_claims,paid_per_claim,n_unique_hcpcs,n_servicing_npis,n_years_active,composite_anomaly_score,anomaly_rank,fraud_flags_count,isolation_forest_label,flag_code_stuffing,flag_high_cost_per_claim,flag_many_servicing,flag_extreme_spending,flag_spending_spike
560787,1437673993,0.0,41,0.0,3,1,1,24973185.72422702,80.0,0,1,False,False,False,False,False
518128,1407288061,0.01,18,0.0005555555555555556,1,1,1,23584023.20576463,87.0,0,1,False,False,False,False,False
99673,1306876875,0.01,42,0.0002380952380952381,3,1,1,23248521.753941137,88.0,0,1,False,False,False,False,False
555812,1316368954,0.01,59,0.00016949152542372882,2,1,2,23210976.534758773,89.0,0,1,False,False,False,False,False
512223,1265045611,240.84,12,20.07,1,1,1,17238332.602656014,90.0,0,1,False,False,False,False,False
160673,1497776173,240.8,12,20.066666666666666,1,1,1,16728277.144504348,91.0,0,1,False,False,False,False,False
555202,1295770188,0.0,36,0.0,3,1,2,15782758.93638317,92.0,0,1,False,False,False,False,False
336537,1205170297,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
486719,1730773219,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
515117,1336177369,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
523694,1538710504,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
532946,1760068712,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
568828,1639462534,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
600188,1477597813,0.0,36,0.0,3,1,1,15782758.930470457,93.0,0,1,False,False,False,False,False
146751,1457382715,240.6,12,20.05,1,1,1,15053474.069193445,100.0,0,1,False,False,False,False,False
