,billing_npi,changepoint_month,changepoint_idx,type,direction,mean_before,mean_after,pct_change,std_before,std_after,is_covid_period
0,1417262056,2021-03,38,variance_shift,increase,75964825.40500002,92945405.24833333,0.22353213810210945,4483615.88236381,8562970.177688396,True
1,1417262056,2024-10,81,variance_shift,decrease,114322177.93833333,72522961.36999999,-0.36562648929659075,4426475.704353242,43057618.96604802,False
2,1699703827,2024-10,81,mean_shift,decrease,100838966.65333332,78826.58,-0.9992182924655308,27756714.73527989,111477.61851248775,False
3,1376609297,2021-12,47,mean_shift,increase,46042493.38333333,93932686.505,1.0401303144673117,4646606.407848457,14273535.952504093,True
4,1699725143,2022-03,50,variance_shift,increase,32536379.52333333,42729094.85333333,0.3132713436259872,974151.9075155812,2007161.050588711,False
5,1699725143,2024-10,81,variance_shift,decrease,48010350.39666667,28909615.98,-0.3978461781439617,2275059.533736896,15053243.24495571,False
6,1922467554,2019-10,21,trend_break,increase,13256867.816666668,19446038.945,0.46686526666214295,996320.2693075726,1137773.619489759,False
7,1922467554,2022-03,50,trend_break,increase,35459034.919999994,43629506.35333333,0.23042001712022647,1364063.624070091,1732028.9992261264,False
8,1710176151,2019-10,21,trend_break,increase,17585064.82166667,23264546.504999995,0.3229718935317929,633810.8796775516,791881.3291867569,False
9,1710176151,2021-11,46,trend_break,increase,30824250.284999996,35369214.61833333,0.14744768457661092,1694042.336541859,1236857.406302157,True
10,1629436241,2020-09,32,trend_break,decrease,32471415.776666667,29343342.254999995,-0.0963331424530725,1683996.9063120969,1102090.5638713865,True
11,1629436241,2021-07,42,trend_break,increase,29324317.333333332,34599069.76333333,0.17987639303043337,959103.8974087541,953473.7595436231,True
12,1629436241,2024-07,78,mean_shift,decrease,36149875.483333334,0.0,-0.9999999999999724,783617.5111369019,1e-06,False
13,1982757688,2023-10,69,trend_break,increase,27899974.991666663,34390473.38666667,0.23263455959865187,1988290.6227675613,1401544.4073675906,False
14,1982757688,2024-10,81,variance_shift,decrease,34083849.995000005,24296650.596666664,-0.28715064171943033,3817715.562597391,15089661.532547718,False
15,1538649983,2018-07,6,mean_shift,increase,0.0,987548.9916666666,987548991666.6666,1e-06,2053270.3687910652,False
16,1538649983,2018-12,11,mean_shift,increase,58091.57666666666,9529658.68,163.04544732050863,66716.33400271522,1820987.1395004499,False
17,1528263910,2020-07,30,mean_shift,increase,15921903.963333333,28245534.825,0.7740048482923946,743794.9437953949,1390730.7781223746,True
18,1528263910,2024-07,78,mean_shift,decrease,25409976.929999996,1251238.465,-0.9507579850053429,1291182.8565819638,1370720.2221289722,False
19,1528263910,2024-10,81,mean_shift,decrease,13869561.358333332,352653.95333333337,-0.9745735323401254,11813627.616175467,498728.00362948864,False
20,1962650622,2019-10,21,trend_break,increase,15234289.175000003,19861208.168333333,0.3037174193152353,622347.5238196504,496214.7424533984,False
21,1720151046,2019-09,20,mean_shift,increase,13824714.931666665,23028212.758333337,0.6657278556670001,458148.2076150618,2512425.0608138465,False
22,1720151046,2024-10,81,variance_shift,decrease,15164055.76333333,10177756.01,-0.32882362285885736,971382.7766502824,4596468.6292853,False
23,1356709976,2020-03,26,variance_shift,increase,17973972.55833333,19294290.296666667,0.0734572022989498,576725.6265883072,1793332.6076632708,True
24,1356709976,2020-06,29,variance_shift,decrease,19266421.12333333,17308203.393333334,-0.10163889377609012,1846297.0984058366,403269.36652747967,True
25,1356709976,2021-07,42,trend_break,increase,16558360.781666666,19382515.868333336,0.17055764902727505,551437.3065480503,483516.05596485717,True
26,1356709976,2024-07,78,mean_shift,decrease,19146530.01333333,0.0,-0.9999999999999478,481276.6033835144,1e-06,False
27,1396051694,2019-09,20,mean_shift,increase,10260483.133333335,15995269.411666667,0.5589197120457335,526359.5699362085,1544322.9139703508,False
28,1538144910,2020-06,29,variance_shift,increase,14609613.311666667,20463092.28166667,0.4006594045391497,2813840.8681567595,1084514.4649733345,True
29,1538144910,2022-10,57,trend_break,decrease,19066249.92166667,17269755.235000003,-0.0942238087745329,994787.8122429217,1009554.2357288583,False
30,1447261540,2023-07,66,mean_shift,increase,15627642.959999999,34863180.645,1.2308662115095297,920657.0949137749,2911430.012610737,False
31,1447261540,2024-10,81,mean_shift,decrease,29572066.36833333,217999.81666666665,-0.9926281845187154,9271023.72573049,224252.19247866335,False
32,1750504064,2020-10,33,trend_break,increase,17345139.086666662,18998155.81833333,0.09530143998310514,624444.9181539792,758639.5184484929,True
33,1750504064,2022-07,54,mean_shift,decrease,21767120.493333336,10197856.950000001,-0.5315017917448542,797599.5665190085,212158.02977995697,False
34,1750504064,2023-07,66,variance_shift,increase,9997281.25,14733765.256666666,0.473777208845274,338651.9087969477,688524.1773323682,False
