,year_from,year_to,wasserstein_1,ks_statistic,ks_pvalue,mean_shift,median_shift,std_ratio
0,2018,2019,0.07986268682378597,0.028714745614515647,3.098971634634027e-113,0.0798619381577792,0.07762041384825835,0.9928427194547333
1,2019,2020,0.03700851255996995,0.01889211978559313,7.267296510535937e-51,-0.030305468866448138,-0.05103868281875368,0.9872987647310384
2,2020,2021,0.1074472755467317,0.04711402492248967,0.0,0.10700974309208977,0.12631884041487673,1.0072860714490146
3,2021,2022,0.049015185573796374,0.02032780047214988,1.8450406597954876e-62,0.048874812582766936,0.05028942195006447,1.0019044458225876
4,2022,2023,0.029827143196805198,0.009938873000776671,2.530329981857819e-15,0.02982678105639014,0.02539478389416505,1.000052520809341
5,2023,2024,0.00809625947535217,0.005165553685197388,0.00023204997593559377,-0.006541728374144462,-0.012098938777827861,0.9991146845665985
