,archetype,count,median_spending,median_volatility,median_growth,median_covid_growth
0,declining,196,337.69467757936513,2.0523500309992646,0.2967845552928129,-97.43121516943795
1,exiting,160205,978.5477551020407,0.8725299800035946,0.8420049393474797,-24.270311245152904
2,growing,17130,1630.491045608108,1.4606463361612434,14.035869062844995,49.51252672881654
3,new_entrant,225984,1282.4256763285025,0.7926048958424884,1.2996118342837533,
4,other,57403,10584.185542168674,0.5712414922005254,2.318033788744102,31.69431684314503
5,spike_then_decline,126683,3253.3581249999997,0.7810401852169223,0.7561395707749076,-7.012972029360265
6,stable,11325,68932.63440476189,0.22960133440843947,1.1859797628678401,3.708878532099896
7,volatile,18577,545.1718644067796,1.4914526883472412,2.046308361584816,-18.154224300761282
