,billing_npi,total_paid,total_claims,paid_per_claim,n_unique_hcpcs,n_servicing_npis,n_years_active,fraud_flags_count,flag_code_stuffing,flag_high_cost_per_claim,flag_many_servicing,flag_extreme_spending,flag_spending_spike
111831,1346380870,121161827.41,1973229,61.40282116774079,535,97,7,4,True,False,True,True,True
193465,1598829350,119487798.5,2200577,54.29839469375532,270,203,7,4,True,False,True,True,True
149867,1467469023,119272067.15999998,2827758,42.17902209453567,624,393,7,4,True,False,True,True,True
10518,1033165527,118629083.58,679341,174.62376564935724,46,141,7,4,True,False,True,True,True
131964,1407877137,118123420.48,2168722,54.466833683616436,570,118,7,4,True,False,True,True,True
440768,1912510041,117964205.63,1080659,109.15950880897674,41,817,5,4,True,False,True,True,True
229004,1700886322,117814599.21999997,1984444,59.36907225399153,611,78,7,4,True,False,True,True,True
140510,1437230034,117594103.53000002,691088,170.15793000312553,228,41,7,4,True,False,True,True,True
311207,1962579029,116549460.31,1303178,89.43479732622865,547,448,7,4,True,False,True,True,True
307008,1952347205,116409265.28,2201781,52.87050132597202,630,76,7,4,True,False,True,True,True
204171,1629560230,116241275.94999999,1473853,78.86897536592862,53,570,7,4,True,False,True,True,True
164048,1508815333,113024026.30999997,1789090,63.174030546255345,442,145,7,4,True,False,True,True,True
49369,1154354744,110090617.69,1386561,79.39832267747326,122,184,7,4,True,False,True,True,False
103745,1316983158,109231692.56,9197808,11.875839608741561,486,19,7,4,True,False,True,True,False
213850,1669017653,108360750.27000001,1316333,82.32016539128018,37,35,7,4,True,False,True,True,True
10123,1033124961,108181703.10999998,2390009,45.264140473948,574,113,7,4,True,False,True,True,True
39616,1124032982,107342118.24000001,2444055,43.919681938417924,503,161,7,4,True,False,True,True,True
3322,1003991506,107202111.87,1773149,60.458603236389045,247,42,7,4,True,False,True,True,True
111480,1346330610,106854710.91000001,213107,501.4134256969504,106,43,7,4,True,False,True,True,True
243275,1750369203,106201250.82,2693538,39.428161332789806,270,583,7,4,True,False,True,True,True
140242,1437197985,105673613.22,1539640,68.63527397313658,453,191,7,4,True,False,True,True,True
313397,1972523348,105326962.19999999,1713835,61.4568859896081,535,13,7,4,True,False,True,True,True
80325,1245520386,104950093.41,643640,163.05713350630788,303,143,7,4,True,False,True,True,True
150173,1467505073,104015940.03,1072163,97.01504344955012,388,211,7,4,True,False,True,True,True
14736,1043387152,102437950.34,944304,108.47984371558312,34,59,7,4,True,False,True,True,True
71125,1215936927,102251527.53000002,2714515,37.66843341444052,616,416,7,4,True,False,True,True,False
51682,1154730828,102007861.95,1275158,79.99625297414124,94,104,7,4,True,False,True,True,True
193777,1598868655,101923688.53,2832746,35.98052509120126,633,347,7,4,True,False,True,True,False
165659,1518012301,101236595.10999998,2390781,42.34457071141187,382,18,7,4,True,False,True,True,True
6019,1013924372,100784879.46,2276971,44.26269788240605,574,152,7,4,True,False,True,True,True
93578,1285874826,100246977.25,1541292,65.04087301432824,219,371,7,4,True,False,True,True,True
216872,1669897385,99101815.22999999,1481963,66.87199021163146,56,85,7,4,True,False,True,True,True
265575,1821035940,98992726.35000001,2090000,47.36494083732058,666,498,7,4,True,False,True,True,True
303641,1942241146,98721753.87,2181393,45.256289843233205,294,866,7,4,True,False,True,True,True
139253,1427536325,98061395.95,2713359,36.14022175097361,551,938,7,4,True,False,True,True,True
